Genres,Audience Score,Director,Tomato-meter,Actors,Movie Title
"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",17,Tom Green (III),19,"[' Joe Dempsie', ' Johnny Harris', ' Kyle Soller', ' Sam Keeley', ' Sofia Boutella', ' Nicholas Pinnock']",Monsters: Dark Continent (2015)
['Comedy'],74,Will Swenson,50,"[' Will Swenson', ' Connie Young', ' Kirby Heyborne', ' Daryn Tufts', ' Michael Birkeland', ' Robert Swenson']",The Singles Ward (2002)
"['Drama', 'Comedy']",53,Quentin Dupieux,68,"[' Jack Plotnick', ' Eric Judor', ' Alexis Dziena', ' Steven E. Little', ' William Fichtner', ' Mark Burnham']",Wrong (2013)
"['Art House & International', 'Drama']",87,Matthew Porterfield,83,"[' Chris Myers', ' Colby Ball', ' Chris Meyers', ' Tiffany Boone', ' Sarah Seipp-Williams', ' Madeleine Saar Reese...']",Hamilton (2006)
"['Art House & International', 'Action & Adventure']",74,Joe Cornish,90,"[' John Boyega', ' Jodie Whittaker', ' Alex Esmail', ' Franz Drameh', ' Leeon Jones', ' Howard Simon']",Attack the Block (2011)
"['Classics', 'Horror']",82,Tobe Hooper,91,"[' Gunnar Hansen', ' Marilyn Burns', ' Allen Danziger', ' Teri McMinn', ' William Vail', ' Paul A. Partain']",The Texas Chainsaw Massacre (1974)
"['Musical & Performing Arts', 'Documentary']",80,Scott Hicks,84,"[' Philip Glass', ' Woody Allen', ' Holly Glass', ' Dennis Russel Davies', ' Chuck Close', ' JoAnne Akalaitis']",Glass: A Portrait of Philip in Twelve Parts (2008)
"['Mystery & Suspense', 'Horror']",15,Tom Berry,20,"[' Kim Coates', ' Dawna Wightman', ' Helen Hughes', ' David Stein', ' Anthony Dean Rubes', ' Cassandra Gava']",The Amityville Curse (1990)
"['Mystery & Suspense', 'Comedy']",23,George Ratliff,21,"[' Pierce Brosnan', ' Jennifer Connelly', ' Ed Harris', ' Greg Kinnear', ' Marisa Tomei', ' Isabelle Fuhrman']",Salvation Boulevard (2011)
"['Documentary', 'Special Interest']",67,Kalyanee Mam,100,"[' Sari Math', ' Khieu Mok', ' Sav Samourn', ' Savann Keoung', ' Omar Math', ' Om Mey Math']",A River Changes Course (2013)
"['Horror', 'Art House & International', 'Mystery & Suspense', 'Classics', 'Cult Movies']",90,Robert Wiene,100,"[' Werner Krauss', ' Conrad Veidt', ' Lil Dagover', ' Friedrich Feher', ' Rudolf Lettinger', ' Hans Heinrich von Tw...']",Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) (1920)
"['Drama', 'Art House & International', 'Comedy']",65,Daniel MacIvor,71,"[' Daniel MacIvor', ' James Allodi', ' Callum Keith Rennie', ' Ellen Page', ' Sandra Oh', ' Paul Gross']",Wilby Wonderful (2005)
['Comedy'],44,Melisa Wallack,21,"[' Aaron Eckhart', ' Jessica Alba', ' Elizabeth Banks', ' Timothy Olyphant', ' Logan Lerman', ' Kristen Wiig']",Meet Bill (2008)
"['Drama', 'Action & Adventure', 'Mystery & Suspense']",80,Erik Van Looy,84,"[' Koen De Bouw', ' Jan Decleir', ' Werner De Smedt', ' Jo De Meyere', ' Hilde De Baerdemaeke...', ' Tom Van Dyck']",De Zaak Alzheimer (The Memory of a Killer) (The Alzheimer Case) (2005)
['Drama'],91,Paul Greengrass,92,"[' James Nesbitt', ' Tim Pigott-Smith', ' Allan Gildea', ' Gerard Crossan', ' Nicholas Farrell', ' Gerard McSorley']",Bloody Sunday (2002)
"['Drama', 'Romance', 'Classics']",66,Frank Capra,100,"[' Nils Asther', ' Barbara Stanwyck', ' Toshia Mori', ' Gavin Gordon', ' Lucien Littlefield', ' Richard Loo']",The Bitter Tea of General Yen (1933)
"['Drama', 'Comedy']",31,Katie Aselton,58,"[' Katie Aselton', ' Dax Shepard', ' Bellamy Young', ' Sean Nelson', ' Marguerite Phillips', ' Ken Kennedy']",The Freebie (2010)
"['Drama', 'Kids & Family']",61,Stuart Gillard,40,"[' Will Rothhaar', ' Randy Quaid', ' David Gallagher', ' Amanda de Martinis', ' Joe Dinicol', ' Jennifer Wigmore']",Kart Racer (2002)
"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",70,Peggy Holmes,79,"[' Christina Hendricks', ' Mae Whitman', ' Tom Hiddleston', ' Angela Bartys', ' Megan Hilty', ' Lucy Liu']",The Pirate Fairy (2014)
"['Documentary', 'Special Interest']",73,Matthew Ogens,100,"[' Christopher Lloyd De...', ' Joe McQueen', ' Jennifer Gehrt', ' Maximus ""Batman"" All...', ' Leron Gubler', ' Johnny Grant']",Confessions of a Superhero (2007)
"['Drama', 'Action & Adventure', 'Comedy']",77,Kasi Lemmons,82,"[' Don Cheadle', ' Chiwetel Ejiofor', ' Benz Antoinee', ' Cedric the Entertain...', ' Carolyn Barrett', ' Taraji P. Henson']",Talk to Me (2007)
"['Documentary', 'Art House & International', 'Special Interest']",93,Eilona Ariel,71,[' Kiran Bedi'],"Doing Time, Doing Vipassana (1998)"
"['Drama', 'Comedy']",54,Paul Weitz,83,"[' Dennis Quaid', ' Topher Grace', ' Scarlett Johansson', ' Marg Helgenberger', ' David Paymer', ' Clark Gregg']",In Good Company (2004)
"['Romance', 'Musical & Performing Arts', 'Classics', 'Comedy']",61,George Cukor,67,"[' Marilyn Monroe', ' Yves Montand', ' Tony Randall', ' Frankie Vaughan', ' Wilfrid Hyde-White', ' David Burns']",Let's Make Love (1960)
"['Comedy', 'Special Interest']",90,Peter Segal,44,"[' Chris Farley', ' David Spade', ' Brian Dennehy', ' Bo Derek', ' Dan Aykroyd', ' Julie Warner']",Tommy Boy (1995)
"['Drama', 'Romance', 'Comedy']",43,Wayne Wang,39,"[' Ralph Fiennes', ' Jennifer Lopez', ' Natasha Richardson', ' Christopher Eigeman', ' Stanley Tucci', ' Tyler Posey']",Maid in Manhattan (2002)
"['Drama', 'Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",50,Roland Emmerich,45,"[' Dennis Quaid', ' Jake Gyllenhaal', ' Emmy Rossum', ' Dash Mihok', ' Jay O Sanders', ' Sela Ward']",The Day After Tomorrow (2004)
"['Drama', 'Comedy']",55,John Boorman,81,"[' Callum Turner', ' Caleb Landry Jones', ' David Thewlis', ' Richard E. Grant', ' Vanessa Kirby', ' Tamsin Egerton']",Queen and Country (2015)
"['Musical & Performing Arts', 'Special Interest']",73,Joe Thomas,50,[' Kenny Chesney'],Kenny Chesney: Summer In 3d (2010)
